,model,recall rate,M,Geometry
0,identity,1.0,10,H
1,geo_distance,0.0,10,H
2,square_distance,0.8,10,H
3,DAM,0.1,10,E
4,MHN,0.1,10,E
5,identity,0.9,10,H
6,geo_distance,0.0,10,H
7,square_distance,0.9,10,H
8,DAM,0.1,10,E
9,MHN,0.1,10,E
10,identity,1.0,10,H
11,geo_distance,0.0,10,H
12,square_distance,0.8,10,H
13,DAM,0.1,10,E
14,MHN,0.1,10,E
15,identity,0.8,10,H
16,geo_distance,0.0,10,H
17,square_distance,0.6,10,H
18,DAM,0.1,10,E
19,MHN,0.1,10,E
20,identity,0.9,10,H
21,geo_distance,0.0,10,H
22,square_distance,0.7,10,H
23,DAM,0.1,10,E
24,MHN,0.1,10,E
25,identity,1.0,10,H
26,geo_distance,0.0,10,H
27,square_distance,0.5,10,H
28,DAM,0.1,10,E
29,MHN,0.1,10,E
30,identity,1.0,10,H
31,geo_distance,0.0,10,H
32,square_distance,0.8,10,H
33,DAM,0.1,10,E
34,MHN,0.1,10,E
35,identity,1.0,10,H
36,geo_distance,0.0,10,H
37,square_distance,0.7,10,H
38,DAM,0.1,10,E
39,MHN,0.1,10,E
40,identity,1.0,10,H
41,geo_distance,0.0,10,H
42,square_distance,0.9,10,H
43,DAM,0.1,10,E
44,MHN,0.1,10,E
45,identity,1.0,10,H
46,geo_distance,0.0,10,H
47,square_distance,0.9,10,H
48,DAM,0.1,10,E
49,MHN,0.1,10,E
50,identity,0.8571428571428571,14,H
51,geo_distance,0.0,14,H
52,square_distance,0.7142857142857143,14,H
53,DAM,0.07142857142857142,14,E
54,MHN,0.07142857142857142,14,E
55,identity,0.9285714285714286,14,H
56,geo_distance,0.0,14,H
57,square_distance,0.5,14,H
58,DAM,0.07142857142857142,14,E
59,MHN,0.07142857142857142,14,E
60,identity,0.9285714285714286,14,H
61,geo_distance,0.0,14,H
62,square_distance,0.8571428571428571,14,H
63,DAM,0.07142857142857142,14,E
64,MHN,0.07142857142857142,14,E
65,identity,0.9285714285714286,14,H
66,geo_distance,0.0,14,H
67,square_distance,0.5714285714285714,14,H
68,DAM,0.07142857142857142,14,E
69,MHN,0.07142857142857142,14,E
70,identity,0.8571428571428571,14,H
71,geo_distance,0.0,14,H
72,square_distance,0.7142857142857143,14,H
73,DAM,0.07142857142857142,14,E
74,MHN,0.07142857142857142,14,E
75,identity,1.0,14,H
76,geo_distance,0.0,14,H
77,square_distance,0.8571428571428571,14,H
78,DAM,0.07142857142857142,14,E
79,MHN,0.07142857142857142,14,E
80,identity,0.8571428571428571,14,H
81,geo_distance,0.0,14,H
82,square_distance,0.7857142857142857,14,H
83,DAM,0.07142857142857142,14,E
84,MHN,0.07142857142857142,14,E
85,identity,0.8571428571428571,14,H
86,geo_distance,0.0,14,H
87,square_distance,0.7857142857142857,14,H
88,DAM,0.07142857142857142,14,E
89,MHN,0.07142857142857142,14,E
90,identity,0.8571428571428571,14,H
91,geo_distance,0.0,14,H
92,square_distance,0.5,14,H
93,DAM,0.07142857142857142,14,E
94,MHN,0.07142857142857142,14,E
95,identity,1.0,14,H
96,geo_distance,0.0,14,H
97,square_distance,0.7142857142857143,14,H
98,DAM,0.07142857142857142,14,E
99,MHN,0.07142857142857142,14,E
100,identity,0.9444444444444444,18,H
101,geo_distance,0.0,18,H
102,square_distance,0.8888888888888888,18,H
103,DAM,0.05555555555555555,18,E
104,MHN,0.05555555555555555,18,E
105,identity,0.8333333333333334,18,H
106,geo_distance,0.0,18,H
107,square_distance,0.7222222222222222,18,H
108,DAM,0.05555555555555555,18,E
109,MHN,0.05555555555555555,18,E
110,identity,0.8333333333333334,18,H
111,geo_distance,0.0,18,H
112,square_distance,0.6111111111111112,18,H
113,DAM,0.05555555555555555,18,E
114,MHN,0.05555555555555555,18,E
115,identity,0.7777777777777778,18,H
116,geo_distance,0.0,18,H
117,square_distance,0.6666666666666666,18,H
118,DAM,0.05555555555555555,18,E
119,MHN,0.05555555555555555,18,E
120,identity,0.9444444444444444,18,H
121,geo_distance,0.0,18,H
122,square_distance,0.8333333333333334,18,H
123,DAM,0.05555555555555555,18,E
124,MHN,0.05555555555555555,18,E
125,identity,0.7222222222222222,18,H
126,geo_distance,0.0,18,H
127,square_distance,0.5,18,H
128,DAM,0.05555555555555555,18,E
129,MHN,0.05555555555555555,18,E
130,identity,0.9444444444444444,18,H
131,geo_distance,0.0,18,H
132,square_distance,0.7777777777777778,18,H
133,DAM,0.05555555555555555,18,E
134,MHN,0.05555555555555555,18,E
135,identity,0.9444444444444444,18,H
